company,company_name,year,deflator,net_sales_fy,net_sales_fy_real,gross_profit_fy,gross_profit_fy_real,operating_profit_fy,operating_profit_fy_real,net_profit_fy,net_profit_fy_real,ebitda_fy,ebitda_fy_real,gross_margin_fy,operating_margin_fy,net_margin_fy,ebitda_margin_fy,net_sales_fy_yoy_nominal,net_sales_fy_yoy_real
BIMAS,BİM,2021,5.1150093943262815,70698507000.0,361623527469.84235,13460030000.0,68848179897.91357,4123282000.0,21090626165.45646,2950710000.0,15092909369.932503,5925940000.0,30311238770.213886,19.038634012455173,5.832205197770301,4.173652493114176,8.381987472521873,,
BIMAS,BİM,2022,3.1141067440387884,279252910000.0,869623370323.4568,42070565000.0,131012230192.02222,5801538000.0,18066608611.597305,16599432000.0,51692403138.41328,13923368000.0,43358854188.53386,15.065398960390421,2.0775210543016365,5.944228835430936,4.985934792944503,294.9912407626939,140.47754204708903
BIMAS,BİM,2023,1.8898254981904177,474200415000.0,896156035519.4778,74618783000.0,141016478757.33768,5717514000.0,10805103743.460688,22299719000.0,42142577568.68132,20721846000.0,39160672940.375114,15.73570596727546,1.205716785380713,4.702593733495573,4.369849823939948,69.81037547648117,3.0510524557489926
BIMAS,BİM,2024,1.308985329475488,680072865516.0,890205403934.8005,118872662936.0,155602571858.9086,6939553936.0,9083774295.32788,24362918475.0,31890702866.98233,29469495506.0,38575137284.39783,17.479400952985575,1.0204132950863534,3.5823982561802143,4.333285005223705,43.41465000953235,-0.6640173528740245
BIMAS,BİM,2025,1.0,793458396023.0,793458396023.0,153447394542.0,153447394542.0,17547081184.0,17547081184.0,20616307257.0,20616307257.0,46858300380.0,46858300380.0,19.33905990674677,2.2114683355737483,2.598284593159992,5.905577483944315,16.672556171016993,-10.867942104616379
MGROS,Migros,2021,5.1150093943262815,36272243000.0,185532863698.2857,8754503000.0,44779365087.657616,708396000.0,3623452194.9031606,358881000.0,1835679686.4452102,1615581000.0,8263711992.295049,24.135543533935852,1.9529975028012465,0.9894094500855655,4.45404217213697,,
MGROS,Migros,2022,3.1141067440387884,140480068000.0,437469927161.8276,26269736000.0,81806762041.71855,-4822645000.0,-15018231318.604942,9155534000.0,28511310174.676426,-77269000.0,-240623914.00513315,18.699973863907868,-3.4329745626262085,6.517318883985734,-0.05500353260079572,287.29357872905734,135.79107142616144
MGROS,Migros,2023,1.8898254981904177,262132403000.0,495384499091.32635,48962215000.0,92530042354.88135,-9637873000.0,-18213898143.720974,12857520000.0,24298469139.49326,-704072000.0,-1330573218.1619236,18.67842908379396,-3.6767194325075483,4.90497162992856,-0.26859403566372525,86.59757696017061,13.238526429743636
MGROS,Migros,2024,1.308985329475488,384535043702.0,503350730875.13367,89011695962.0,116515004165.99054,-12403010211.0,-16235358407.533678,8604849914.0,11263622299.764416,656779747.0,859715053.5196227,23.147876226069183,-3.2254564087563007,2.2377284086150624,0.17079841168103765,46.69496761985583,1.6080906444225773
MGROS,Migros,2025,1.0,454197869640.0,454197869640.0,110421877958.0,110421877958.0,-9081179341.0,-9081179341.0,7475615155.0,7475615155.0,8602362656.0,8602362656.0,24.311403760110338,-1.9993883608916525,1.6458939274473519,1.8939680766927165,18.116118954293814,-9.765131591182097
SOKM,Şok Marketler,2021,5.1150093943262815,28411812112.0,145326685862.71323,6644138979.0,33984833294.79443,967841685.0,4950519310.995578,318923675.0,1631297593.698062,1801665153.0,9215534183.025297,23.385129230084498,3.406476437281601,1.1225038154651865,6.341253933039524,,
SOKM,Şok Marketler,2022,3.1141067440387884,112384820331.0,349978326920.3546,22751504149.0,70850612507.42737,36234647.0,112838558.59056485,6954039535.0,21655621414.25586,4016511538.0,12507845667.995407,20.244285733599444,0.03224158466711105,6.18770356576511,3.573891497241726,295.55667863766143,140.82179046659817
SOKM,Şok Marketler,2023,1.8898254981904177,193155221661.0,365029663003.5799,37996313185.0,71806401494.24176,-2405983785.0,-4546889505.125691,6135447873.0,11594925833.213564,4324976014.0,8173449950.319157,19.67138804649351,-1.2456219222603562,3.1764338650746446,2.239119386371348,71.86949366659303,4.300648047457689
SOKM,Şok Marketler,2024,1.308985329475488,264629947407.0,346396718895.633,48371451343.0,63317520173.42439,-11413492876.0,-14940094732.756996,80162843.0,104931985.45604682,-1175690548.0,-1538961679.3349972,18.27890298016984,-4.3130012259897725,0.030292430537617807,-0.4442772103158044,37.00377609850114,-5.104501358774272
SOKM,Şok Marketler,2025,1.0,306804878486.0,306804878486.0,63014022045.0,63014022045.0,-7170533082.0,-7170533082.0,-2121801948.0,-2121801948.0,5521746129.0,5521746129.0,20.538794023079863,-2.337163971246045,-0.6915802507673688,1.7997582555558895,15.93732360689135,-11.429623391312127
BIZIM,Bizim Toptan,2021,5.1150093943262815,7173144694.0,36690702496.67172,882824508.0,4515655651.961477,148949521.0,761878199.1953998,82245447.0,420686234.0455643,244081974.0,1248481589.9957032,12.307356754401475,2.0764884489865274,1.1465744873206654,3.402719231415521,,
BIZIM,Bizim Toptan,2022,3.1141067440387884,31937713710.0,99457449653.49107,3109126290.0,9682151147.757298,-1011542471.0,-3150051230.8227606,736508801.0,2293567024.238022,-414632963.0,-1291211306.3790853,9.734968251739645,-3.1672350757007273,2.306078662009523,-1.298254993344043,345.24005958940717,171.06989751017448
BIZIM,Bizim Toptan,2023,1.8898254981904177,46522093733.0,87918638965.82803,4557179261.0,8612273567.262365,-2201527595.0,-4160502984.0008273,108024287.0,204147051.99643967,-1089057785.0,-2058129171.0957778,9.795731222147056,-4.732219507649475,0.23219996851382899,-2.3409474888433217,45.665072194674636,-11.601756055342417
BIZIM,Bizim Toptan,2024,1.308985329475488,50026481453.0,65483930307.2546,6834722089.0,8946550945.54306,-3514005498.0,-4599781644.578206,-2228888579.0,-2917582450.9464674,-1849200275.0,-2420576031.237038,13.662208275473537,-7.024290727504826,-4.455417439449636,-3.696442806471065,7.5327386168653865,-25.517579574102932
BIZIM,Bizim Toptan,2025,1.0,43367848066.0,43367848066.0,7237173567.0,7237173567.0,-2259422878.0,-2259422878.0,-906285328.0,-906285328.0,-398638789.0,-398638789.0,16.68787797814178,-5.209903139674958,-2.089763196506214,-0.9192035269846124,-13.31021729612506,-33.77329695619154
